"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",310.296986231487,321.817852350018,319.089027548467,322.095532555806,315.472850204915,296.246546344659,326.327280646203,315.475588321144,315.422367519994,316.680838357098,317.572583836657,310.141607574083,314.066343586568,323.506632643241,322.251918835966,311.688818752073,317.851102653546,305.777776527393,315.830192020449,313.903616812563,317.56704501268,319.705729156454,311.800820731607,312.871565493243,316.337853521104,317.532503988749,310.849937392768,321.261421665849,324.33039367951,320.869887961354,311.227283023706,314.202931300854,320.646849057466,321.068346735413,325.270136016845,320.104716880885,319.646638468473,318.777402203708,316.412193854079,314.752530980609,309.334627728121,321.457571033519,320.522756288631,310.362942328722,316.059559450786,317.209815550017,304.527053330031,321.207164811901,314.159123380128,317.844269723549
"2",312.870049758668,304.488868923021,311.618545539308,326.808449146299,319.609090276768,322.342191019842,323.183627414284,320.345457593064,322.319172404665,316.391120716217,324.582483118189,313.015208519511,467.560505373339,312.316438184775,318.91663405205,312.937004892128,321.530697558686,322.02523779897,321.687683469491,317.508451885345,314.767729283957,307.452475731979,317.37626786528,310.757038691383,321.363738082411,314.992974422099,313.025210223865,315.602765273517,318.304181484381,318.406270296375,319.638854960185,313.713449324113,318.344557736456,320.799686947493,326.327687091525,309.455743248776,319.506360712584,317.79692818744,313.262723254867,318.151725566307,312.161332226631,321.125769349093,327.707202907507,316.847171222079,323.209990565524,312.510757148033,323.378236240881,317.469146276519,322.60294099129,323.069377280489
"3",321.777005332113,321.074713569834,322.503622954465,314.067588470363,320.947195838099,321.708626725954,319.805417602067,314.783123087598,314.514419442979,318.741540673952,322.60523956305,458.494688735612,467.151167385616,361.491224341245,320.525085157592,318.964834364976,318.299072755923,323.950906699455,321.903898238783,320.118232087385,327.803104211021,310.508204354657,321.50396916157,303.081563477567,313.687714506846,325.537355546241,326.332040865637,322.720120928664,316.225725387043,311.436831323822,320.477960344855,305.028472976795,313.33854864037,305.084926328163,317.66614293529,324.789958857143,312.035577068429,324.467497803776,320.177389171172,316.509774955636,323.434123157184,320.982316264731,324.195557225504,312.065368021109,321.636950071238,313.492382515788,320.755904090966,324.261764292993,322.724785978394,317.260189308232
"4",310.008394769823,312.081909546617,319.055099812895,318.608473045465,312.47579265186,315.639821186392,324.191720854812,313.129080920515,322.551069336565,317.549124405068,468.15891613031,453.622832581968,465.688520667752,460.005677822749,343.72227110749,324.112800052937,312.380956546827,312.849762337739,317.115758508316,303.128564255226,310.484417914493,316.140404567795,319.661302873321,327.109718514722,318.546529279037,320.239533026818,319.791466695729,322.065490240906,319.561086515366,300.709439284267,320.025915026565,316.578204828791,307.667121676011,324.965345440152,308.829118436883,319.031716381895,313.759369770365,319.048902125632,319.517855579417,321.389693271193,319.484434630628,312.624929192194,309.854209251206,318.852261606058,314.754902816942,313.102295788814,326.471739379836,322.210201355369,313.463529502171,313.322547321145
"5",314.917025964816,321.779284967575,323.407602011545,309.374964085733,310.781272989216,311.336160006692,314.654456598859,320.482365375589,319.500516568122,457.828924107592,442.591647442286,451.423502207428,432.317798573107,445.489641958739,457.958875695719,313.226383329855,318.506201575829,322.956013889527,321.025743893853,319.40088678233,321.152141922132,319.546783360743,321.836850301228,305.321071660091,311.289992613522,319.032040971454,322.297394825721,319.482285121223,319.591544556062,312.824387624749,320.195773917102,322.620285157099,321.186789304107,310.940523860953,319.879497441142,321.124535871669,319.1985115281,320.28065294374,321.584059433164,320.385909147047,307.080355810412,311.332393253735,321.971637827213,323.143584453835,321.942211955903,320.396016628058,319.407986685812,314.327505656606,308.265250748669,322.574617394304
"6",318.146168915263,318.516092350208,324.853740165655,314.522244741366,318.665776252913,320.84333402792,323.326813177523,319.382643821339,433.71498477879,453.242802134915,413.504148068671,464.906719332907,449.055779904858,460.206220411779,440.227913822124,428.914208927491,308.200914641645,314.863988123161,318.227594522027,324.306103583917,316.877933041864,315.421871403266,313.441051323169,319.617236292375,313.085807177454,315.218925004614,308.976776674544,310.229726468953,310.035134186111,317.655751339457,320.981665272926,314.875333881685,321.50097692203,310.572178836054,320.154234176814,317.199459757816,305.350496315973,323.236076324533,313.187291761335,318.119942890924,307.054683493261,324.615076413273,319.367601420616,324.260329113068,320.359403752916,315.235455729076,318.69089103864,316.992850394826,310.419076805465,319.950929744532
"7",308.063195799804,310.172129875094,320.759206729498,317.120426607883,318.926789628427,317.742410171633,315.786528187194,321.413277430278,433.971687029462,435.552352201661,467.991680758437,412.408568673805,459.552270073526,461.824296756201,435.080780099886,462.594926410555,323.051194429181,309.474941124128,324.094787592092,323.944774261059,306.755907264502,318.307600316963,306.872518991005,319.062976911944,310.87983501201,315.754810981864,323.549116434306,312.069345864675,310.358364704008,312.976118183972,319.30137953966,309.198827438615,312.009577450084,313.954904636232,314.987436997692,320.764763173797,328.314784364142,311.677802585425,310.176261804861,312.634801972779,315.888994056772,312.904658515016,316.31066172673,316.006615213239,320.311270314703,319.504623419132,323.624578220493,315.187023047684,313.598616016344,318.791047659066
"8",327.172702077482,315.41732357452,322.119175054244,318.547180119673,321.208313498321,309.484321661898,320.438253354131,320.168431747512,443.573436949338,437.155966247031,464.856607968865,456.240728317791,369.445958705499,399.569684955914,454.880670418696,315.997030302112,315.89305665676,316.246812137433,321.126946279654,319.053194731974,312.722345485836,313.602138154971,321.582689615908,323.87033027077,317.881857015214,305.797708704681,327.029322065655,319.865696049277,319.119065194925,323.154312894629,307.913686991607,312.313185381544,318.44879570084,319.371781069002,310.949295902003,319.017981692682,315.36322583405,322.306841282743,311.684137923275,322.047095576351,321.070461143236,320.832137743004,319.490637650969,319.130930264777,319.394006273254,324.284035465921,309.202818081316,323.225116065983,312.844718187604,315.673475220175
"9",312.917977503102,311.146987706467,315.48241827688,325.408061064404,318.950441507112,305.990058228648,313.285005670327,313.33763506393,451.921274544985,419.999319579056,465.802693933465,451.367943291351,446.655451914615,415.144243501842,459.975200773135,309.408514017426,320.187049026649,323.850188007914,325.794205081249,314.239871669212,321.750241926448,315.432900559941,311.780954506654,306.169198559215,320.906080791786,305.677242455566,319.850845109976,310.090218826836,315.932527844353,334.747127692946,311.67735535184,310.645558480344,318.826000329965,326.980330809983,315.844836161677,314.438229819707,320.373659320729,313.772656890467,317.490426568199,311.498605664141,317.926552132633,327.944234201966,324.318322511226,317.78608743715,321.755957050238,315.520795357087,323.911528274182,314.802363305866,325.346776697388,323.848106466697
"10",315.956946483764,314.034165300422,317.299921247277,305.013608435905,322.529339104209,322.826977434049,315.437316457428,309.510801830557,463.31879706389,446.438610801744,418.598749905486,467.061753719824,429.682065207978,467.023282592906,462.186639727032,316.23216841301,320.908984163652,325.846791471174,318.278954646066,325.418411770627,322.635076215631,312.010025115106,306.907194289798,315.623546688795,318.735538105216,324.852173708388,330.142082609169,324.95489452882,309.270762230081,325.175055795079,308.533888747036,318.343305381836,315.865901327829,311.236616113756,316.237466282874,315.731144375855,320.733123305306,314.820402744765,318.264333564443,319.882939719995,314.002344076516,317.665949175397,314.050271838986,322.553392306099,326.179869460572,315.269024677636,307.83183885409,319.91485113513,322.786391451344,326.866674936308
