"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1107.40168129295,1107.40823617876,1107.40006807322,1107.42278655597,1107.4034466318,1107.34543508226,1107.41697410314,1107.33227152041,1107.29473778323,1107.3645845208,1107.33195241641,1106.93282930374,1107.3904470375,1107.39761487059,1107.39973319987,1107.36291390997,1107.40283007389,1107.38862524101,1107.38546999929,1107.40403973569,1107.3795859282,1107.42518214426,1107.38872744978,1107.32576905521,1107.33837260356,1107.35434517325,1107.40816900647,1107.42095490503,1107.41083956432,1107.40843132359,1107.4174054074,1107.37502690587,1107.30148483603,1107.41653432522,1107.42694860157,1107.41600848383,1107.42339431515,1107.33735126709,1107.41078643383,1107.38533131149,1107.30659167223,1107.27091774492,1107.33176241775,1107.35989278015,1107.2706958679,1107.36764503793,1107.35446311504,1107.42155997877,1107.42787864122,1107.35107855661
"2",1107.39959342324,1107.33971655725,1107.36668930885,1107.4023198039,1107.37640947344,1107.40440276354,1107.33470375127,1107.28321866182,1107.39307658432,1107.42751604535,1111.07393063868,1111.07332998827,1111.07393063868,1111.07260578112,1111.07393063868,1107.38273554033,1107.41204033978,1107.28119810944,1107.42505198723,1107.41597713969,1107.41495812436,1107.3373608556,1107.40672771333,1107.35873558894,1107.41477626339,1107.20167307066,1107.43480651235,1107.41994411078,1107.43450962075,1107.34854190189,1107.36649267378,1107.39233379589,1107.3224025231,1107.31324729602,1107.43436935222,1107.39224949271,1107.39923649967,1107.36370105409,1107.37795012532,1107.38761647183,1107.2925937079,1107.4064821798,1107.39906252158,1107.37840829457,1107.40738815809,1107.38228987209,1107.31036812868,1107.39690687158,1107.27183202179,1107.43608937574
"3",1107.36193178619,1107.43295316849,1107.38179584647,1107.3917763438,1107.40979650955,1107.41989009362,1107.27502916404,1107.43567738053,1107.40727313148,1107.44424668569,1108.20364230983,1111.07299832368,1111.07393063868,1111.07393063868,1111.07393063868,1111.07393063868,1111.07393063868,1107.37220612885,1107.35939367597,1107.44742065002,1107.38259541484,1107.41345074514,1107.3736099314,1107.39408908183,1107.40624848972,1107.40318601119,1107.35923734929,1107.34332934484,1107.35155943045,1107.28357790874,1107.44421481098,1107.33985831187,1107.34384609026,1107.45623322186,1107.29006563027,1107.30484208539,1107.38485977534,1107.30530942098,1107.3170687741,1107.44050188453,1107.33427983785,1107.3380311998,1107.3765849237,1107.25058655959,1107.34080968045,1107.41626089034,1107.35450376722,1107.461312134,1107.4059146366,1107.40135492773
"4",1107.41904135984,1107.43977685424,1107.30870515554,1107.39675693813,1107.43733403847,1107.30543837544,1107.41159018351,1107.38118244006,1107.41512526062,1107.41026332799,1107.44802904633,1111.07393063868,1111.07393063868,1111.0727500175,1111.03694499418,1111.07393063868,1111.07393063868,1111.07393063868,1110.84214289032,1107.44207144669,1107.42809766054,1107.43639214139,1107.3865043919,1107.41169569214,1107.39046122435,1107.43177095262,1107.36784424133,1107.35017105994,1107.35656694216,1107.39353277818,1107.42235217834,1107.32357382136,1107.43263265184,1107.4275610437,1107.31848670858,1107.38400238704,1107.33985678294,1107.405663319,1107.47363883507,1107.42840284718,1107.41064682846,1107.19968281998,1107.41777699467,1107.4188222458,1107.4426108434,1107.34117836477,1107.35928734821,1107.36758434937,1107.41761475618,1107.38414439713
"5",1107.38441499203,1107.40867509592,1107.34821241992,1107.37323061223,1107.44727159068,1107.39695233934,1107.40671679242,1107.4650494809,1107.42371107131,1107.44602430223,1111.07393063868,1110.06079926414,1111.07393063868,1111.05665898795,1111.07393063868,1111.07393063868,1111.07393063868,1111.06571756047,1111.03979868025,1109.69316166545,1107.4482760079,1107.39450242249,1107.43416261172,1107.40881102764,1107.4754717526,1107.42368224401,1107.46259679379,1107.42516078483,1107.42080768316,1107.41518341434,1107.43369312682,1107.42852519784,1107.42159447258,1107.44159361627,1107.42106729027,1107.44243004587,1107.38111315164,1107.24246952097,1107.40145212264,1107.41319935908,1107.41267505126,1107.42199415093,1107.27005972635,1107.35656641126,1107.45290799479,1107.39707320096,1107.26586864191,1107.34527172497,1107.41020399305,1107.36064255023
"6",1107.4038052487,1107.40278989944,1107.39148592137,1107.41800563096,1107.35391359181,1107.28793663163,1107.36250244467,1107.42454666635,1107.43154726558,1107.33354910848,1108.7178129078,1110.49845472047,1111.04787266782,1110.69926030116,1111.07393063868,1111.07393063868,1111.07393063868,1111.07393063868,1111.07393063868,1110.60017117767,1108.84957909211,1107.46314902005,1107.35359715145,1107.34921837868,1107.3445772654,1107.47188326126,1107.44593602406,1107.4208289364,1107.41834946941,1107.33063564147,1107.42719407164,1107.33681110113,1107.40285007695,1107.41785747803,1107.42044323506,1107.38378070346,1107.42928233746,1107.36976680752,1107.40812176942,1107.36062067923,1107.4506164177,1107.35539219603,1107.44125580242,1107.42895344833,1107.38902221348,1107.44216665957,1107.42255485939,1107.439640682,1107.36168864045,1107.30694201805
"7",1107.4016242793,1107.3359232678,1107.42202554714,1107.42184896263,1107.36994858554,1107.3829716657,1107.36509583549,1107.36432435148,1107.43231191821,1107.77833335444,1110.33458104152,1109.21242458323,1108.64165635592,1109.81101741233,1111.07393063868,1111.0674880807,1111.07393063868,1111.07393063868,1111.07393063868,1111.07393063868,1111.07393063868,1111.07145681902,1107.2681501483,1107.38362211911,1107.35119560542,1107.37199417184,1107.35709554336,1107.40196703111,1107.3447998294,1107.42142124589,1107.34242835969,1107.41225986739,1107.40336302517,1107.38445336011,1107.41057272591,1107.40259720397,1107.35100692719,1107.43581453609,1107.4359638486,1107.44829197421,1107.39774506559,1107.4643120418,1107.41849969864,1107.43015952509,1107.38242052854,1107.41878822306,1107.39369411925,1107.31442662939,1107.4044036679,1107.37309585312
"8",1107.36594649189,1107.32971205997,1107.41607761434,1107.42104968708,1107.33614624521,1107.40196258888,1107.41486701146,1107.45027477063,1107.40210032726,1108.35896287268,1109.10094229299,1108.83062122831,1109.26426553117,1108.53098164431,1111.07393063868,1111.06346827189,1111.07197782017,1111.07393063868,1111.07393063868,1111.07393063868,1111.07108159982,1111.07393063868,1107.41915683511,1107.22127634619,1107.41997107844,1107.35376430275,1107.40710117686,1107.30547911631,1107.37296421483,1107.44296858503,1107.36216333734,1107.45353806747,1107.39911659668,1107.41146275912,1107.33952232788,1107.37996695652,1107.4786984764,1107.34230780079,1107.34179445198,1107.44968003617,1107.39847103018,1107.39519800603,1107.39769138195,1107.43666318094,1107.44161427499,1107.39720149161,1107.40863729435,1107.37947312526,1107.36743625523,1107.37174779616
"9",1107.40742830531,1107.32660151356,1107.40077339467,1107.45330804325,1107.3743325915,1107.44187080206,1107.39020535238,1107.41268006892,1107.3603769963,1108.33665669168,1108.4879562508,1108.59887612794,1108.60673129488,1109.09184471386,1108.62528571259,1111.07150801541,1111.07393063868,1111.07358233175,1111.07393063868,1111.07393063868,1111.07393063868,1111.07393063868,1110.63461162877,1107.36436598334,1107.40699854849,1107.38588024932,1107.34167250228,1107.41092707056,1107.41550980601,1107.3948821757,1107.41025973568,1107.36792059453,1107.41321607284,1107.43268223434,1107.32424880109,1107.47861569962,1107.38976204805,1107.40915550234,1107.40841719321,1107.06505031863,1107.28969107722,1107.36532464099,1107.43847185988,1107.42585726732,1107.40358221123,1107.44397893658,1107.30320543861,1107.28090570401,1107.38195682319,1107.37581997378
"10",1107.41947067413,1107.42157701845,1107.35129802468,1107.39595651349,1107.37936681,1107.41870798832,1107.29787810734,1107.41928321456,1107.36287658049,1107.58519971133,1108.99536352568,1107.904110515,1108.42154496773,1109.20408941023,1108.31169606,1108.36115246017,1111.07161474162,1111.07153265238,1111.07393063868,1111.07345022068,1111.07393063868,1111.07393063868,1111.07393063868,1107.41138058782,1107.31824592715,1107.43249242038,1107.40789040912,1107.37936731443,1107.22490485138,1107.39616936915,1107.45668107827,1107.34294108332,1107.37560377384,1107.39608885,1107.34222721383,1107.38489824561,1107.36987720033,1107.4433949993,1107.39552202853,1107.43436873647,1107.41225613807,1107.37812548323,1107.41710248617,1107.37925498395,1107.43070118045,1107.40196190118,1107.2660750003,1107.2955844423,1107.39117237439,1106.83448220088
