terrainRandomSeed,randomSeed,temperature_annualMaxAt2m,temperature_annualMinAt2m,temperature_meanDailyFluctuation,temperature_dailyLowerDeviation,temperature_dailyUpperDeviation,solar_annualMax,solar_annualMin,solar_meanDailyFluctuation,precipitation_yearlyMean,precipitation_yearlySd,precipitation_dailyCum_nSamples,precipitation_dailyCum_maxSampleSize,precipitation_dailyCum_plateauValue_yearlyMean,precipitation_dailyCum_plateauValue_yearlySd,precipitation_dailyCum_inflection1_yearlyMean,precipitation_dailyCum_inflection1_yearlySd,precipitation_dailyCum_rate1_yearlyMean,precipitation_dailyCum_rate1_yearlySd,precipitation_dailyCum_inflection2_yearlyMean,precipitation_dailyCum_inflection2_yearlySd,precipitation_dailyCum_rate2_yearlyMean,precipitation_dailyCum_rate2_yearlySd,elev_seaLevelReferenceShift,riverWaterPerFlowAccumulation,errorToleranceThreshold,crop_selection,crop_intensity
92,0,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,571.3728258490918,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,7.180374715599878E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
92,1,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,446.17090444751926,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,7.231212553863494E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
92,2,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,464.1951512668725,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,3.5666969004652695E-5,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
92,3,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,573.2580008683894,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,7.11066343211376E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
92,4,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,968.6783463595864,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,5.517599205817039E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
92,5,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,260.89350584776867,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,8.720249818714642E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
92,6,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,898.2171505704861,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,3.3866000141668764E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
92,7,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,122.49286943632544,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,7.821196066704765E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
92,8,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,879.7579327308939,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,9.688552505827721E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
92,9,37,12.8,2.2,6.8,7.9,24.2,9.2,3.3,59.85544169303728,142.2,200,10,0.25,0.1,40,5,0.07,0.02,240,20,0.08,0.02,-1000,5.068558425327996E-4,1,['wheat 1' 'wheat 2' 'rice' 'barley' 'pearl millet' 'proso millet'],50
